query_id,query_title,subject_id,subject_accession,subject_title,taxid,sci_name,identity_pct,bit_score,evalue
Query_2228399,reverse journal,gi|2053978900|gb|MW823156.1|,MW823156,"Pedioplanis gaerdesi voucher MCZR185880 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671827|gb|MG250534.1|,MG250534,"Sus scrofa isolate GZHF10 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165718074|gb|OL547482.1|,OL547482,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2688656600|gb|OR682198.1|,OR682198,"Neofelis nebulosa mitochondrion, complete genome",61452,Neofelis nebulosa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2428833687|gb|OP930842.1|,OP930842,"Panthera leo isolate JCK10712 mitochondrion, complete genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|820869561|gb|KR132589.1|,KR132589,"Panthera leo mitochondrion, partial genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320865|gb|AF486868.1|,AF486868,"Sus scrofa breed Chinese Yimenghei mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315470|gb|EF545570.1|,EF545570,"Sus scrofa isolate wb11348 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|118344880|gb|DQ871074.1|,DQ871074,"Pedioplanis gaerdesi haplotype AMB7584 NADH dehydrogenase subunit 2 (NADH2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910506|gb|PP763927.1|,PP763927,"Sus scrofa isolate Doom4 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978892|gb|MW823152.1|,MW823152,"Pedioplanis gaerdesi voucher AMB8468 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1772811366|gb|MN550010.1|,MN550010,"Sus scrofa breed Tibetan mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910772|gb|PP763946.1|,PP763946,"Sus scrofa isolate Mali1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315554|gb|EF545576.1|,EF545576,"Sus scrofa isolate diq7 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2132853968|gb|OK513013.1|,OK513013,"Panthera spelaea voucher VNHM GS-27 mitochondrion, complete genome",2770979,Panthera spelaea,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166142|gb|FJ236994.1|,FJ236994,"Sus scrofa breed Iberian haplotype H5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184803966|gb|KX982637.1|,KX982637,"Sus scrofa isolate Vietnam_VNF08 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320907|gb|AF486871.1|,AF486871,"Sus scrofa breed Chinese Yushanhei mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|794460880|gb|KP681245.1|,KP681245,"Sus scrofa breed wild boar mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|84181679|gb|AY334492.2|,AY334492,"Sus scrofa isolate JNP-9 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|78499534|gb|DQ268530.1|,DQ268530,"Sus scrofa isolate KS02 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|45826197|gb|AY574047.1|,AY574047,"Sus scrofa isolate KWB1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2037092945|gb|MK746097.1|,MK746097,"Sus scrofa isolate Queshan66 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1083262576|gb|KX094894.1|,KX094894,"Sus scrofa breed I pig mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717737|gb|OL547458.1|,OL547458,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717611|gb|OL547449.1|,OL547449,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1464425876|gb|MH588619.1|,MH588619,"Panthera pardus voucher ZMUC25/26/206 mitochondrion, partial genome",9691,Panthera pardus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717821|gb|OL547464.1|,OL547464,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166170|gb|FJ236996.1|,FJ236996,"Sus scrofa breed Duroc haplotype D1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2132853814|gb|OK513002.1|,OK513002,"Panthera spelaea voucher PIN 3915-121 mitochondrion, complete genome",2770979,Panthera spelaea,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320781|gb|AF486862.1|,AF486862,"Sus scrofa breed Chinese Tongcheng mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|465481228|gb|KC505410.1|,KC505410,"Sus scrofa breed Berkshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717499|gb|OL547441.1|,OL547441,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727911318|gb|PP763985.1|,PP763985,"Sus scrofa isolate TenyiVo5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978910|gb|MW823161.1|,MW823161,"Pedioplanis gaerdesi voucher Z37926 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2132853660|gb|OK512991.1|,OK512991,"Panthera spelaea voucher FAM 69094 mitochondrion, complete genome",2770979,Panthera spelaea,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978926|gb|MW823169.1|,MW823169,"Pedioplanis gaerdesi voucher MCZR185884 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717891|gb|OL547469.1|,OL547469,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|347448611|gb|JN601066.1|,JN601066,"Sus scrofa isolate Mangalitsa Blonde breed 43-5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|762006652|gb|KP001506.1|,KP001506,"Panthera leo isolate 42_DRC mitochondrion, complete genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184804050|gb|KX982643.1|,KX982643,"Sus scrofa isolate Vietnam_VNM09 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671589|gb|MG250517.1|,MG250517,"Sus scrofa isolate BMX0013 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910996|gb|PP763962.1|,PP763962,"Sus scrofa isolate Banda7 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1071036342|gb|KX620012.1|,KX620012,"Sus scrofa isolate Enshi365 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1043523517|gb|KU234271.1|,KU234271,"Panthera leo persica breed Indian mitochondrion, complete genome",83386,Panthera leo persica,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910702|gb|PP763941.1|,PP763941,"Sus scrofa isolate NiangMegha1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1040461015|gb|KU133958.1|,KU133958,"Neofelis nebulosa mitochondrion, complete genome",61452,Neofelis nebulosa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671701|gb|MG250525.1|,MG250525,"Sus scrofa isolate DB8016 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314672149|gb|MG250557.1|,MG250557,"Sus scrofa isolate tunchang6062 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717863|gb|OL547467.1|,OL547467,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320725|gb|AF486858.1|,AF486858,"Sus scrofa breed Duroc mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978944|gb|MW823178.1|,MW823178,"Pedioplanis branchi voucher CAS:214793 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",2848679,Pedioplanis branchi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2561340859|gb|OR260476.1|,OR260476,"Sus scrofa mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|748762942|gb|KP126939.1|,KP126939,"Sus scrofa breed Bama xiang pig mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2132854052|gb|OK513019.1|,OK513019,"Panthera leo atrox voucher NTC14-19 mitochondrion, complete genome",402889,Panthera leo atrox,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|157056425|gb|EU117375.1|,EU117375,"Sus scrofa breed Iberian mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2046218688|gb|MN025258.1|,MN025258,"Sus scrofa domesticus mitochondrion, complete genome",9825,Sus scrofa domesticus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320823|gb|AF486865.1|,AF486865,"Sus scrofa breed Chinese Qingping mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|125213062|dbj|AB292606.1|,AB292606,"Sus scrofa mitochondrial DNA, 12S rRNA to ND6 region",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|45826169|gb|AY574045.1|,AY574045,"Sus scrofa breed Berkshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|115546398|dbj|AK230917.1|,AK230917,"Sus scrofa mRNA, clone:AMP010064B01, expressed in alveolar macrophage",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1084352609|gb|KX146493.1|,KX146493,"Sus scrofa breed hetao mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978906|gb|MW823159.1|,MW823159,"Pedioplanis gaerdesi voucher CAS:214729 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184804246|gb|KX982657.1|,KX982657,"Sus scrofa isolate Vietnam_BA24 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166128|gb|FJ236993.1|,FJ236993,"Sus scrofa breed Iberian haplotype H4 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978968|gb|MW823190.1|,MW823190,"Pedioplanis branchi voucher ZMB:89318 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",2848679,Pedioplanis branchi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315582|gb|EF545578.1|,EF545578,"Sus scrofa isolate Aaba15 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2132853898|gb|OK513008.1|,OK513008,"Panthera spelaea voucher IEM BL-0418-L mitochondrion, complete genome",2770979,Panthera spelaea,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717765|gb|OL547460.1|,OL547460,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314672177|gb|MG250559.1|,MG250559,"Sus scrofa isolate WZS149 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978902|gb|MW823157.1|,MW823157,"Pedioplanis gaerdesi voucher MCZR185876 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717555|gb|OL547445.1|,OL547445,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053979098|gb|MW823255.1|,MW823255,"Pedioplanis branchi voucher ZMB:89309 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",2848679,Pedioplanis branchi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727911332|gb|PP763986.1|,PP763986,"Sus scrofa isolate Nicobari1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184803882|gb|KX982631.1|,KX982631,"Sus scrofa isolate Russia_CO mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717990|gb|OL547476.1|,OL547476,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315694|gb|EF545586.1|,EF545586,"Sus scrofa isolate wb371 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314672205|gb|MG250561.1|,MG250561,"Sus scrofa isolate WZS889 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2037092819|gb|MK746088.1|,MK746088,"Sus scrofa isolate Huainan1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|671184681|gb|KJ737418.1|,KJ737418,"Sus scrofa breed Hang mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1772811380|gb|MN550011.1|,MN550011,"Sus scrofa breed Hezuo mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2633559415|gb|OR817741.1|,OR817741,"Panthera pardus isolate Pie mitochondrion, complete genome",9691,Panthera pardus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|347448723|gb|JN601074.1|,JN601074,"Sus scrofa isolate yorkshire 1-38-177 breed Yorkshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166184|gb|FJ236997.1|,FJ236997,"Sus scrofa breed Duroc haplotype D2 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|670804638|gb|KJ909516.1|,KJ909516,"Sus scrofa breed Wuzhishan mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|37576251|gb|AY184399.1|,AY184399,"Pedioplanis inornata NADH dehydrogenase subunit 2 gene, partial cds; mitochondrial gene for mitochondrial product",219177,Pedioplanis inornata,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184803896|gb|KX982632.1|,KX982632,"Sus scrofa isolate Russia_ZK mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320893|gb|AF486870.1|,AF486870,"Sus scrofa breed Chinese Dahuabai mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727911038|gb|PP763965.1|,PP763965,"Sus scrofa isolate Banda10 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315484|gb|EF545571.1|,EF545571,"Sus scrofa isolate wb11347 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978896|gb|MW823154.1|,MW823154,"Pedioplanis gaerdesi voucher MCZR184959 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978894|gb|MW823153.1|,MW823153,"Pedioplanis gaerdesi voucher MCZR185874 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",219176,Pedioplanis gaerdesi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|225580658|gb|DQ466081.2|,DQ466081,"Sus scrofa breed Nuogu mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|459353574|gb|KC469587.1|,KC469587,"Sus scrofa domesticus breed pietrain mitochondrion, complete genome",9825,Sus scrofa domesticus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320767|gb|AF486861.1|,AF486861,"Sus scrofa breed Chinese Erhualian mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910884|gb|PP763954.1|,PP763954,"Sus scrofa isolate Ankamali4 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166268|gb|FJ237003.1|,FJ237003,"Sus scrofa breed European wild boar haplotype WB6 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2108671987|gb|MZ647672.1|,MZ647672,"Sus scrofa domesticus breed Ghungroo mitochondrion, complete genome",9825,Sus scrofa domesticus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1464425862|gb|MH588618.1|,MH588618,"Panthera pardus voucher ZMUC24 mitochondrion, partial genome",9691,Panthera pardus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2037092847|gb|MK746090.1|,MK746090,"Sus scrofa isolate Huainan5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910716|gb|PP763942.1|,PP763942,"Sus scrofa isolate NiangMegha2 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727911052|gb|PP763966.1|,PP763966,"Sus scrofa isolate Banda11 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910548|gb|PP763930.1|,PP763930,"Sus scrofa isolate Ghoongroo1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1086928133|gb|KX147101.1|,KX147101,"Sus scrofa breed Black Muong Lay pig mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671575|gb|MG250516.1|,MG250516,"Sus scrofa isolate BMX0012 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|145315498|gb|EF545572.1|,EF545572,"Sus scrofa isolate wb11342 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671967|gb|MG250544.1|,MG250544,"Sus scrofa isolate LUC201 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|762006638|gb|KP001505.1|,KP001505,"Panthera leo isolate 96_Zambia mitochondrion, complete genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166100|gb|FJ236991.1|,FJ236991,"Sus scrofa breed Iberian haplotype H2 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|33320795|gb|AF486863.1|,AF486863,"Sus scrofa breed Chinese Jinhua mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184803994|gb|KX982639.1|,KX982639,"Sus scrofa isolate Vietnam_VNF50 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|762006610|gb|KP001503.1|,KP001503,"Panthera leo isolate 95_Zambia mitochondrion, complete genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|808177047|gb|KP765602.1|,KP765602,"Sus scrofa breed Berkshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|762006540|gb|KP001498.1|,KP001498,"Panthera leo isolate 89_Kenya mitochondrion, complete genome",9689,Panthera leo,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|671184709|gb|KJ737420.1|,KJ737420,"Sus scrofa breed Huo shou black mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910520|gb|PP763928.1|,PP763928,"Sus scrofa isolate Doom5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1184804078|gb|KX982645.1|,KX982645,"Sus scrofa isolate Vietnam_MCA5 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|6601170|gb|AF099238.1|AF099238,AF099238,"Liolaemus petrophilus NADH dehydrogenase subunit 1 (ND1) gene, partial cds; tRNA-Ile, tRNA-Gln, and tRNA-Met genes, complete sequence; NADH dehydrogenase subunit 2 (ND2) gene, complete cds; tRNA-Trp, tRNA-Ala, tRNA-Asn, tRNA-Cys, and tRNA-Tyr genes, complete sequence; and cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial genes for mitochondrial products",109431,Liolaemus petrophilus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|290790422|gb|GQ502778.1|,GQ502778,"Liolaemus incaicus NADH dehydrogenase subunit 1 (ND1) gene, partial cds; tRNA-Ile, tRNA-Gln, and tRNA-Met genes, complete sequence; NADH dehydrogenase subunit 2 (ND2) gene, complete cds; tRNA-Trp, tRNA-Ala, tRNA-Asn, tRNA-Cys, and tRNA-Tyr genes, complete sequence; and cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",703236,Liolaemus incaicus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2563111928|gb|OR268693.1|,OR268693,"Sus scrofa breed Tunchang mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314672247|gb|MG250564.1|,MG250564,"Sus scrofa isolate WZS973 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717583|gb|OL547447.1|,OL547447,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|666876027|gb|KJ866876.1|,KJ866876,"Panthera pardus japonensis mitochondrion, complete genome",348288,Panthera pardus japonensis,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|983635831|gb|KT194219.1|,KT194219,"Sus scrofa breed Wujin mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910730|gb|PP763943.1|,PP763943,"Sus scrofa isolate NiangMegha3 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|1314671841|gb|MG250535.1|,MG250535,"Sus scrofa isolate F15F mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
